source	target	relation	target role	tabletID	museum Nr	excavation Nr	publication	archive	text type	subtype	place of writing	date	reign
P19120	P19116	business partner, investing > witness-scribe	scribe (ṭupšarru)	T00001	NBC 6130		No publication	Ṣāhit-ginê B	Legal document	partnership, creation	Broken/Unclear	22.4.28 Darius I	 Darius I
P19256	P19116	business partner, investing > witness-scribe	scribe (ṭupšarru)	T00001	NBC 6130		No publication	Ṣāhit-ginê B	Legal document	partnership, creation	Broken/Unclear	22.4.28 Darius I	 Darius I
P19120	P19097	business partner, investing > witness-scribe	witness, regular (mukinnu)	T00001	NBC 6130		No publication	Ṣāhit-ginê B	Legal document	partnership, creation	Broken/Unclear	22.4.28 Darius I	 Darius I
P19256	P19097	business partner, investing > witness-scribe	witness, regular (mukinnu)	T00001	NBC 6130		No publication	Ṣāhit-ginê B	Legal document	partnership, creation	Broken/Unclear	22.4.28 Darius I	 Darius I
P00035	P00548	recipient > witness-scribe	scribe (ṭupšarru)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P02002	P00548	recipient > witness-scribe	scribe (ṭupšarru)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P02467	P00548	recipient > witness-scribe	scribe (ṭupšarru)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P00035	P00008	recipient > witness-scribe	witness, regular (mukinnu)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P00035	P00025	recipient > witness-scribe	witness, regular (mukinnu)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P00035	P00041	recipient > witness-scribe	witness, regular (mukinnu)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P02002	P00008	recipient > witness-scribe	witness, regular (mukinnu)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P02002	P00025	recipient > witness-scribe	witness, regular (mukinnu)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P02002	P00041	recipient > witness-scribe	witness, regular (mukinnu)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P02467	P00008	recipient > witness-scribe	witness, regular (mukinnu)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P02467	P00025	recipient > witness-scribe	witness, regular (mukinnu)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P02467	P00041	recipient > witness-scribe	witness, regular (mukinnu)	T00002	BM 31034		Abraham 2004, no. 1	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.12.6 Darius I	 Darius I
P00005	P02374	obligee > witness-scribe	scribe (ṭupšarru)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P00005	P01867	obligee > witness-scribe	witness, regular (mukinnu)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P00005	P02716	obligee > witness-scribe	witness, regular (mukinnu)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P00005	P15627	obligee > witness-scribe	witness, regular (mukinnu)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P00005	P20034	obligee > witness-scribe	witness, regular (mukinnu)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P01969	P02374	obligor > witness-scribe	scribe (ṭupšarru)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P01969	P01867	obligor > witness-scribe	witness, regular (mukinnu)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P01969	P02716	obligor > witness-scribe	witness, regular (mukinnu)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P01969	P15627	obligor > witness-scribe	witness, regular (mukinnu)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P01969	P20034	obligor > witness-scribe	witness, regular (mukinnu)	T00003	BM 30233		Abraham 2004, no. 2	Egibi Nūr-Sîn	Legal document	bond	Babylon	7.13.31 Darius I	 Darius I
P00005	P02935	recipient > witness-scribe	scribe (ṭupšarru)	T00004	BM 30235		Abraham 2004, no. 3	Egibi Nūr-Sîn	Legal document	receipt	Babylon	5.1.26 Darius I	 Darius I
P00005	P00028	recipient > witness-scribe	witness, regular (mukinnu)	T00004	BM 30235		Abraham 2004, no. 3	Egibi Nūr-Sîn	Legal document	receipt	Babylon	5.1.26 Darius I	 Darius I
P00005	P15550	recipient > witness-scribe	witness, regular (mukinnu)	T00004	BM 30235		Abraham 2004, no. 3	Egibi Nūr-Sîn	Legal document	receipt	Babylon	5.1.26 Darius I	 Darius I
P00005	P15587	recipient > witness-scribe	witness, regular (mukinnu)	T00004	BM 30235		Abraham 2004, no. 3	Egibi Nūr-Sîn	Legal document	receipt	Babylon	5.1.26 Darius I	 Darius I
P00005	P19537	recipient > witness-scribe	witness, regular (mukinnu)	T00004	BM 30235		Abraham 2004, no. 3	Egibi Nūr-Sîn	Legal document	receipt	Babylon	5.1.26 Darius I	 Darius I
P00005	P02698	recipient > witness-scribe	scribe (ṭupšarru)	T00005	BM 30243		Abraham 2004, no. 4	Egibi Nūr-Sîn	Legal document	receipt	Babylon	7.9.25 Darius I	 Darius I
P00005	P01771	recipient > witness-scribe	witness, regular (mukinnu)	T00005	BM 30243		Abraham 2004, no. 4	Egibi Nūr-Sîn	Legal document	receipt	Babylon	7.9.25 Darius I	 Darius I
P00005	P01777	recipient > witness-scribe	witness, regular (mukinnu)	T00005	BM 30243		Abraham 2004, no. 4	Egibi Nūr-Sîn	Legal document	receipt	Babylon	7.9.25 Darius I	 Darius I
P00005	P15607	recipient > witness-scribe	witness, regular (mukinnu)	T00005	BM 30243		Abraham 2004, no. 4	Egibi Nūr-Sîn	Legal document	receipt	Babylon	7.9.25 Darius I	 Darius I
P00005	P15730	recipient > witness-scribe	witness, regular (mukinnu)	T00005	BM 30243		Abraham 2004, no. 4	Egibi Nūr-Sîn	Legal document	receipt	Babylon	7.9.25 Darius I	 Darius I
P00005	P29738	recipient > witness-scribe	scribe (ṭupšarru)	T00007	BM 30261		Abraham 2004, no. 6	Egibi Nūr-Sîn	Legal document	receipt	Babylon	13.4.20 Darius I	 Darius I
P00005	P02104	recipient > witness-scribe	witness, regular (mukinnu)	T00007	BM 30261		Abraham 2004, no. 6	Egibi Nūr-Sîn	Legal document	receipt	Babylon	13.4.20 Darius I	 Darius I
P00005	P02134	recipient > witness-scribe	witness, regular (mukinnu)	T00007	BM 30261		Abraham 2004, no. 6	Egibi Nūr-Sîn	Legal document	receipt	Babylon	13.4.20 Darius I	 Darius I
P00005	P02170	recipient > witness-scribe	witness, regular (mukinnu)	T00007	BM 30261		Abraham 2004, no. 6	Egibi Nūr-Sîn	Legal document	receipt	Babylon	13.4.20 Darius I	 Darius I
P00005	P02356	recipient > witness-scribe	witness, regular (mukinnu)	T00007	BM 30261		Abraham 2004, no. 6	Egibi Nūr-Sîn	Legal document	receipt	Babylon	13.4.20 Darius I	 Darius I
P00005	P20007	recipient > witness-scribe	witness, regular (mukinnu)	T00007	BM 30261		Abraham 2004, no. 6	Egibi Nūr-Sîn	Legal document	receipt	Babylon	13.4.20 Darius I	 Darius I
P00005	P26833	recipient > witness-scribe	witness, regular (mukinnu)	T00007	BM 30261		Abraham 2004, no. 6	Egibi Nūr-Sîn	Legal document	receipt	Babylon	13.4.20 Darius I	 Darius I
P19066	P14612	business partner > witness-scribe	scribe (ṭupšarru)	T00008	FLP 1274		Stigers 1976, no. 18	Ṣāhit-ginê B	Legal document	promissory note	Sippar	17.2.21 Darius I	 Darius I
P19066	P14785	business partner > witness-scribe	witness, regular (mukinnu)	T00008	FLP 1274		Stigers 1976, no. 18	Ṣāhit-ginê B	Legal document	promissory note	Sippar	17.2.21 Darius I	 Darius I
P19066	P19015	business partner > witness-scribe	witness, regular (mukinnu)	T00008	FLP 1274		Stigers 1976, no. 18	Ṣāhit-ginê B	Legal document	promissory note	Sippar	17.2.21 Darius I	 Darius I
P19066	P19039	business partner > witness-scribe	witness, regular (mukinnu)	T00008	FLP 1274		Stigers 1976, no. 18	Ṣāhit-ginê B	Legal document	promissory note	Sippar	17.2.21 Darius I	 Darius I
P19066	P19049	business partner > witness-scribe	witness, regular (mukinnu)	T00008	FLP 1274		Stigers 1976, no. 18	Ṣāhit-ginê B	Legal document	promissory note	Sippar	17.2.21 Darius I	 Darius I
P19066	P19055	business partner > witness-scribe	witness, regular (mukinnu)	T00008	FLP 1274		Stigers 1976, no. 18	Ṣāhit-ginê B	Legal document	promissory note	Sippar	17.2.21 Darius I	 Darius I
P19066	P19073	business partner > witness-scribe	witness, regular (mukinnu)	T00008	FLP 1274		Stigers 1976, no. 18	Ṣāhit-ginê B	Legal document	promissory note	Sippar	17.2.21 Darius I	 Darius I
P19066	P19078	business partner > witness-scribe	witness, regular (mukinnu)	T00008	FLP 1274		Stigers 1976, no. 18	Ṣāhit-ginê B	Legal document	promissory note	Sippar	17.2.21 Darius I	 Darius I
P19010	P14612	creditor > witness-scribe	scribe (ṭupšarru)	T00008	FLP 1274		Stigers 1976, no. 18	Ṣāhit-ginê B	Legal document	promissory note	Sippar	17.2.21 Darius I	 Darius I
P19010	P14785	creditor > witness-scribe	witness, regular (mukinnu)	T00008	FLP 1274		Stigers 1976, no. 18	Ṣāhit-ginê B	Legal document	promissory note	Sippar	17.2.21 Darius I	 Darius I
P19010	P19015	creditor > witness-scribe	witness, regular (mukinnu)	T00008	FLP 1274		Stigers 1976, no. 18	Ṣāhit-ginê B	Legal document	promissory note	Sippar	17.2.21 Darius I	 Darius I
P19010	P19039	creditor > witness-scribe	witness, regular (mukinnu)	T00008	FLP 1274		Stigers 1976, no. 18	Ṣāhit-ginê B	Legal document	promissory note	Sippar	17.2.21 Darius I	 Darius I
P19010	P19049	creditor > witness-scribe	witness, regular (mukinnu)	T00008	FLP 1274		Stigers 1976, no. 18	Ṣāhit-ginê B	Legal document	promissory note	Sippar	17.2.21 Darius I	 Darius I
P19010	P19055	creditor > witness-scribe	witness, regular (mukinnu)	T00008	FLP 1274		Stigers 1976, no. 18	Ṣāhit-ginê B	Legal document	promissory note	Sippar	17.2.21 Darius I	 Darius I
P19010	P19073	creditor > witness-scribe	witness, regular (mukinnu)	T00008	FLP 1274		Stigers 1976, no. 18	Ṣāhit-ginê B	Legal document	promissory note	Sippar	17.2.21 Darius I	 Darius I
P19010	P19078	creditor > witness-scribe	witness, regular (mukinnu)	T00008	FLP 1274		Stigers 1976, no. 18	Ṣāhit-ginê B	Legal document	promissory note	Sippar	17.2.21 Darius I	 Darius I
P29458	P01855	lessor > witness-scribe	scribe (ṭupšarru)	T00010	BM 30270		Abraham 2004, no. 7	Egibi Nūr-Sîn	Legal document	sub-lease contract	Babylon	6.13.26 Darius I	 Darius I
P29458	P09139	lessor > witness-scribe	witness, regular (mukinnu)	T00010	BM 30270		Abraham 2004, no. 7	Egibi Nūr-Sîn	Legal document	sub-lease contract	Babylon	6.13.26 Darius I	 Darius I
P29458	P09151	lessor > witness-scribe	witness, regular (mukinnu)	T00010	BM 30270		Abraham 2004, no. 7	Egibi Nūr-Sîn	Legal document	sub-lease contract	Babylon	6.13.26 Darius I	 Darius I
P29458	P09268	lessor > witness-scribe	witness, regular (mukinnu)	T00010	BM 30270		Abraham 2004, no. 7	Egibi Nūr-Sîn	Legal document	sub-lease contract	Babylon	6.13.26 Darius I	 Darius I
P25505	P26770	donor > witness-scribe	scribe (ṭupšarru)	T00011	BM 94836		Waerzeggers 2010, no. 2	Ahiya’ūtu	Legal document	"extra witness (ana šībūti, ana mukinnūti); gift"	Borsippa	29.1. Darius I	 Darius I
P25505	P25514	donor > witness-scribe	witness, extra	T00011	BM 94836		Waerzeggers 2010, no. 2	Ahiya’ūtu	Legal document	"extra witness (ana šībūti, ana mukinnūti); gift"	Borsippa	29.1. Darius I	 Darius I
P25505	P25566	donor > witness-scribe	witness, regular (mukinnu)	T00011	BM 94836		Waerzeggers 2010, no. 2	Ahiya’ūtu	Legal document	"extra witness (ana šībūti, ana mukinnūti); gift"	Borsippa	29.1. Darius I	 Darius I
P25505	P25628	donor > witness-scribe	witness, regular (mukinnu)	T00011	BM 94836		Waerzeggers 2010, no. 2	Ahiya’ūtu	Legal document	"extra witness (ana šībūti, ana mukinnūti); gift"	Borsippa	29.1. Darius I	 Darius I
P23697	P26770	recipient > witness-scribe	scribe (ṭupšarru)	T00011	BM 94836		Waerzeggers 2010, no. 2	Ahiya’ūtu	Legal document	"extra witness (ana šībūti, ana mukinnūti); gift"	Borsippa	29.1. Darius I	 Darius I
P23697	P25514	recipient > witness-scribe	witness, extra	T00011	BM 94836		Waerzeggers 2010, no. 2	Ahiya’ūtu	Legal document	"extra witness (ana šībūti, ana mukinnūti); gift"	Borsippa	29.1. Darius I	 Darius I
P23697	P25566	recipient > witness-scribe	witness, regular (mukinnu)	T00011	BM 94836		Waerzeggers 2010, no. 2	Ahiya’ūtu	Legal document	"extra witness (ana šībūti, ana mukinnūti); gift"	Borsippa	29.1. Darius I	 Darius I
P23697	P25628	recipient > witness-scribe	witness, regular (mukinnu)	T00011	BM 94836		Waerzeggers 2010, no. 2	Ahiya’ūtu	Legal document	"extra witness (ana šībūti, ana mukinnūti); gift"	Borsippa	29.1. Darius I	 Darius I
P19005	P14168	creditor > witness-scribe	scribe (ṭupšarru)	T00012	FLP 1468		Stigers 1976, no. 33	Ṣāhit-ginê B	Legal document	"promissory note; purchase"	Sippar	26.4.12 Darius I	 Darius I
P19005	P13166	creditor > witness-scribe	witness, regular (mukinnu)	T00012	FLP 1468		Stigers 1976, no. 33	Ṣāhit-ginê B	Legal document	"promissory note; purchase"	Sippar	26.4.12 Darius I	 Darius I
P19005	P19026	creditor > witness-scribe	witness, regular (mukinnu)	T00012	FLP 1468		Stigers 1976, no. 33	Ṣāhit-ginê B	Legal document	"promissory note; purchase"	Sippar	26.4.12 Darius I	 Darius I
P19005	P19046	creditor > witness-scribe	witness, regular (mukinnu)	T00012	FLP 1468		Stigers 1976, no. 33	Ṣāhit-ginê B	Legal document	"promissory note; purchase"	Sippar	26.4.12 Darius I	 Darius I
P19005	P19061	creditor > witness-scribe	witness, regular (mukinnu)	T00012	FLP 1468		Stigers 1976, no. 33	Ṣāhit-ginê B	Legal document	"promissory note; purchase"	Sippar	26.4.12 Darius I	 Darius I
P19005	P19089	creditor > witness-scribe	witness, regular (mukinnu)	T00012	FLP 1468		Stigers 1976, no. 33	Ṣāhit-ginê B	Legal document	"promissory note; purchase"	Sippar	26.4.12 Darius I	 Darius I
P01927	P19466	employee > witness-scribe	scribe (ṭupšarru)	T00013	BM 30274		Abraham 2004, no. 8	Egibi Nūr-Sîn	Legal document	work contract	Babylon	13.4.24 Darius I	 Darius I
P01927	P02806	employee > witness-scribe	witness, regular (mukinnu)	T00013	BM 30274		Abraham 2004, no. 8	Egibi Nūr-Sîn	Legal document	work contract	Babylon	13.4.24 Darius I	 Darius I
P01927	P02911	employee > witness-scribe	witness, regular (mukinnu)	T00013	BM 30274		Abraham 2004, no. 8	Egibi Nūr-Sîn	Legal document	work contract	Babylon	13.4.24 Darius I	 Darius I
P01927	P15578	employee > witness-scribe	witness, regular (mukinnu)	T00013	BM 30274		Abraham 2004, no. 8	Egibi Nūr-Sîn	Legal document	work contract	Babylon	13.4.24 Darius I	 Darius I
P00009	P19466	employer > witness-scribe	scribe (ṭupšarru)	T00013	BM 30274		Abraham 2004, no. 8	Egibi Nūr-Sîn	Legal document	work contract	Babylon	13.4.24 Darius I	 Darius I
P00009	P02806	employer > witness-scribe	witness, regular (mukinnu)	T00013	BM 30274		Abraham 2004, no. 8	Egibi Nūr-Sîn	Legal document	work contract	Babylon	13.4.24 Darius I	 Darius I
P00009	P02911	employer > witness-scribe	witness, regular (mukinnu)	T00013	BM 30274		Abraham 2004, no. 8	Egibi Nūr-Sîn	Legal document	work contract	Babylon	13.4.24 Darius I	 Darius I
P00009	P15578	employer > witness-scribe	witness, regular (mukinnu)	T00013	BM 30274		Abraham 2004, no. 8	Egibi Nūr-Sîn	Legal document	work contract	Babylon	13.4.24 Darius I	 Darius I
P23721	P27572	employee > witness-scribe	scribe (ṭupšarru)	T00014	BM 94638		Waerzeggers 2010, no. 3	Ahiya’ūtu	Legal document	work contract	Borsippa	14.11. Darius I	 Darius I
P23721	P25706	employee > witness-scribe	witness, regular (mukinnu)	T00014	BM 94638		Waerzeggers 2010, no. 3	Ahiya’ūtu	Legal document	work contract	Borsippa	14.11. Darius I	 Darius I
P25668	P27572	employer > witness-scribe	scribe (ṭupšarru)	T00014	BM 94638		Waerzeggers 2010, no. 3	Ahiya’ūtu	Legal document	work contract	Borsippa	14.11. Darius I	 Darius I
P25668	P25706	employer > witness-scribe	witness, regular (mukinnu)	T00014	BM 94638		Waerzeggers 2010, no. 3	Ahiya’ūtu	Legal document	work contract	Borsippa	14.11. Darius I	 Darius I
P00005	P09274	recipient > witness-scribe	scribe (ṭupšarru)	T00015	BM 30297		Abraham 2004, no. 9	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.9.24 Darius I	 Darius I
P00005	P01813	recipient > witness-scribe	witness, regular (mukinnu)	T00015	BM 30297		Abraham 2004, no. 9	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.9.24 Darius I	 Darius I
P00005	P19983	recipient > witness-scribe	witness, regular (mukinnu)	T00015	BM 30297		Abraham 2004, no. 9	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.9.24 Darius I	 Darius I
P00005	P28311	recipient > witness-scribe	witness, regular (mukinnu)	T00015	BM 30297		Abraham 2004, no. 9	Egibi Nūr-Sîn	Legal document	receipt	Babylon	6.9.24 Darius I	 Darius I
P21979	P24881	exchanger > witness-scribe	scribe (ṭupšarru)	T00016	BM 94556		Waerzeggers 2010, no. 4	Ilia A+B	Legal document	exchange	Borsippa	21.2.18 Nabopolassar	 Nabopolassar
P26538	P24881	exchanger > witness-scribe	scribe (ṭupšarru)	T00016	BM 94556		Waerzeggers 2010, no. 4	Ilia A+B	Legal document	exchange	Borsippa	21.2.18 Nabopolassar	 Nabopolassar
P21979	P18693	exchanger > witness-scribe	witness, regular (pāni)	T00016	BM 94556		Waerzeggers 2010, no. 4	Ilia A+B	Legal document	exchange	Borsippa	21.2.18 Nabopolassar	 Nabopolassar
P21979	P23469	exchanger > witness-scribe	witness, regular (pāni)	T00016	BM 94556		Waerzeggers 2010, no. 4	Ilia A+B	Legal document	exchange	Borsippa	21.2.18 Nabopolassar	 Nabopolassar
P21979	P23683	exchanger > witness-scribe	witness, regular (pāni)	T00016	BM 94556		Waerzeggers 2010, no. 4	Ilia A+B	Legal document	exchange	Borsippa	21.2.18 Nabopolassar	 Nabopolassar
P21979	P23839	exchanger > witness-scribe	witness, regular (pāni)	T00016	BM 94556		Waerzeggers 2010, no. 4	Ilia A+B	Legal document	exchange	Borsippa	21.2.18 Nabopolassar	 Nabopolassar
P21979	P23845	exchanger > witness-scribe	witness, regular (pāni)	T00016	BM 94556		Waerzeggers 2010, no. 4	Ilia A+B	Legal document	exchange	Borsippa	21.2.18 Nabopolassar	 Nabopolassar
P21979	P27977	exchanger > witness-scribe	witness, regular (pāni)	T00016	BM 94556		Waerzeggers 2010, no. 4	Ilia A+B	Legal document	exchange	Borsippa	21.2.18 Nabopolassar	 Nabopolassar
P21979	P28767	exchanger > witness-scribe	witness, regular (pāni)	T00016	BM 94556		Waerzeggers 2010, no. 4	Ilia A+B	Legal document	exchange	Borsippa	21.2.18 Nabopolassar	 Nabopolassar
P26538	P18693	exchanger > witness-scribe	witness, regular (pāni)	T00016	BM 94556		Waerzeggers 2010, no. 4	Ilia A+B	Legal document	exchange	Borsippa	21.2.18 Nabopolassar	 Nabopolassar
P26538	P23469	exchanger > witness-scribe	witness, regular (pāni)	T00016	BM 94556		Waerzeggers 2010, no. 4	Ilia A+B	Legal document	exchange	Borsippa	21.2.18 Nabopolassar	 Nabopolassar
P26538	P23683	exchanger > witness-scribe	witness, regular (pāni)	T00016	BM 94556		Waerzeggers 2010, no. 4	Ilia A+B	Legal document	exchange	Borsippa	21.2.18 Nabopolassar	 Nabopolassar
P26538	P23839	exchanger > witness-scribe	witness, regular (pāni)	T00016	BM 94556		Waerzeggers 2010, no. 4	Ilia A+B	Legal document	exchange	Borsippa	21.2.18 Nabopolassar	 Nabopolassar
P26538	P23845	exchanger > witness-scribe	witness, regular (pāni)	T00016	BM 94556		Waerzeggers 2010, no. 4	Ilia A+B	Legal document	exchange	Borsippa	21.2.18 Nabopolassar	 Nabopolassar
P26538	P27977	exchanger > witness-scribe	witness, regular (pāni)	T00016	BM 94556		Waerzeggers 2010, no. 4	Ilia A+B	Legal document	exchange	Borsippa	21.2.18 Nabopolassar	 Nabopolassar
P26538	P28767	exchanger > witness-scribe	witness, regular (pāni)	T00016	BM 94556		Waerzeggers 2010, no. 4	Ilia A+B	Legal document	exchange	Borsippa	21.2.18 Nabopolassar	 Nabopolassar
P00005	P02365	recipient > witness-scribe	scribe (ṭupšarru)	T00017	BM 30366		Abraham 2004, no. 10	Egibi Nūr-Sîn	Legal document	receipt	Babylon	7.9.26 Darius I	 Darius I
P00005	P00009	recipient > witness-scribe	witness, regular (mukinnu)	T00017	BM 30366		Abraham 2004, no. 10	Egibi Nūr-Sîn	Legal document	receipt	Babylon	7.9.26 Darius I	 Darius I
P00005	P01864	recipient > witness-scribe	witness, regular (mukinnu)	T00017	BM 30366		Abraham 2004, no. 10	Egibi Nūr-Sîn	Legal document	receipt	Babylon	7.9.26 Darius I	 Darius I
P00005	P09217	recipient > witness-scribe	witness, regular (mukinnu)	T00017	BM 30366		Abraham 2004, no. 10	Egibi Nūr-Sîn	Legal document	receipt	Babylon	7.9.26 Darius I	 Darius I
P00040	P00009	seller > witness-scribe	witness, regular (mukinnu)	T00019	BM 30370		Abraham 2004, no. 11	Egibi Nūr-Sîn	Legal document	purchase	Babylon	3.5.26 Darius I	 Darius I
P00040	P00024	seller > witness-scribe	witness, regular (mukinnu)	T00019	BM 30370		Abraham 2004, no. 11	Egibi Nūr-Sîn	Legal document	purchase	Babylon	3.5.26 Darius I	 Darius I
P00040	P01933	seller > witness-scribe	witness, regular (mukinnu)	T00019	BM 30370		Abraham 2004, no. 11	Egibi Nūr-Sîn	Legal document	purchase	Babylon	3.5.26 Darius I	 Darius I
P00040	P02146	seller > witness-scribe	witness, regular (mukinnu)	T00019	BM 30370		Abraham 2004, no. 11	Egibi Nūr-Sîn	Legal document	purchase	Babylon	3.5.26 Darius I	 Darius I
P00040	P15532	seller > witness-scribe	witness, regular (mukinnu)	T00019	BM 30370		Abraham 2004, no. 11	Egibi Nūr-Sîn	Legal document	purchase	Babylon	3.5.26 Darius I	 Darius I
P28997	P00009	lessor > witness-scribe	scribe (ṭupšarru)	T00022	BM 30490		Abraham 2004, no. 13	Egibi Nūr-Sîn	Legal document	sub-lease contract	Babylon	05.13.26 Darius I	 Darius I
P28997	P01693	lessor > witness-scribe	witness, regular (mukinnu)	T00022	BM 30490		Abraham 2004, no. 13	Egibi Nūr-Sîn	Legal document	sub-lease contract	Babylon	05.13.26 Darius I	 Darius I
P28997	P09139	lessor > witness-scribe	witness, regular (mukinnu)	T00022	BM 30490		Abraham 2004, no. 13	Egibi Nūr-Sîn	Legal document	sub-lease contract	Babylon	05.13.26 Darius I	 Darius I
P28997	P09151	lessor > witness-scribe	witness, regular (mukinnu)	T00022	BM 30490		Abraham 2004, no. 13	Egibi Nūr-Sîn	Legal document	sub-lease contract	Babylon	05.13.26 Darius I	 Darius I
P28997	P09268	lessor > witness-scribe	witness, regular (mukinnu)	T00022	BM 30490		Abraham 2004, no. 13	Egibi Nūr-Sîn	Legal document	sub-lease contract	Babylon	05.13.26 Darius I	 Darius I
P00020	P02422	creditor > witness-scribe	scribe (ṭupšarru)	T00024	BM 30541		Abraham 2004, no. 14	Egibi Nūr-Sîn	Legal document	promissory note	Babylon	.0.25 Darius I	 Darius I
P00020	P00031	creditor > witness-scribe	witness, regular (mukinnu)	T00024	BM 30541		Abraham 2004, no. 14	Egibi Nūr-Sîn	Legal document	promissory note	Babylon	.0.25 Darius I	 Darius I
P00020	P01687	creditor > witness-scribe	witness, regular (mukinnu)	T00024	BM 30541		Abraham 2004, no. 14	Egibi Nūr-Sîn	Legal document	promissory note	Babylon	.0.25 Darius I	 Darius I
P00020	P19930	creditor > witness-scribe	witness, regular (mukinnu)	T00024	BM 30541		Abraham 2004, no. 14	Egibi Nūr-Sîn	Legal document	promissory note	Babylon	.0.25 Darius I	 Darius I
P00020	P28489	creditor > witness-scribe	witness, regular (mukinnu)	T00024	BM 30541		Abraham 2004, no. 14	Egibi Nūr-Sîn	Legal document	promissory note	Babylon	.0.25 Darius I	 Darius I
P21983	P23922	creditor > witness-scribe	scribe (ṭupšarru)	T00025	BM 27849		Waerzeggers 2010, no. 6	Ilia A+B	Legal document	promissory note	Borsippa	13.12.36 Nebuchadnezzar II	 Nebuchadnezzar II
P21987	P23922	creditor > witness-scribe	scribe (ṭupšarru)	T00025	BM 27849		Waerzeggers 2010, no. 6	Ilia A+B	Legal document	promissory note	Borsippa	13.12.36 Nebuchadnezzar II	 Nebuchadnezzar II
P21983	P22769	creditor > witness-scribe	witness, regular (mukinnu)	T00025	BM 27849		Waerzeggers 2010, no. 6	Ilia A+B	Legal document	promissory note	Borsippa	13.12.36 Nebuchadnezzar II	 Nebuchadnezzar II
P21983	P23446	creditor > witness-scribe	witness, regular (mukinnu)	T00025	BM 27849		Waerzeggers 2010, no. 6	Ilia A+B	Legal document	promissory note	Borsippa	13.12.36 Nebuchadnezzar II	 Nebuchadnezzar II
P21983	P24990	creditor > witness-scribe	witness, regular (mukinnu)	T00025	BM 27849		Waerzeggers 2010, no. 6	Ilia A+B	Legal document	promissory note	Borsippa	13.12.36 Nebuchadnezzar II	 Nebuchadnezzar II
P21987	P22769	creditor > witness-scribe	witness, regular (mukinnu)	T00025	BM 27849		Waerzeggers 2010, no. 6	Ilia A+B	Legal document	promissory note	Borsippa	13.12.36 Nebuchadnezzar II	 Nebuchadnezzar II
P21987	P23446	creditor > witness-scribe	witness, regular (mukinnu)	T00025	BM 27849		Waerzeggers 2010, no. 6	Ilia A+B	Legal document	promissory note	Borsippa	13.12.36 Nebuchadnezzar II	 Nebuchadnezzar II
